Year,Title,Price,Image URL
2024,M-Benz A-Class,183 - 348,https://autos.yahoo.com.tw/p/r/w644/car-models/January2024/YbtUoDCWOMDfNG63J2UY.jpeg
2024,M-Benz A-Class Sedan,185 - 185,https://autos.yahoo.com.tw/p/r/w644/car-models/January2024/tdoblyRyXr289l6etc3c.jpeg
2024,M-Benz AMG GT 4-Door Coupe,579 - 579,https://autos.yahoo.com.tw/p/r/w644/car-models/April2024/mzYsCerSDEuPfYd059ek.jpeg
2024,M-Benz AMG SL,676 - 676,https://autos.yahoo.com.tw/p/r/w644/car-models/January2024/WFI39AeONSPNb5F5564y.jpeg
2024,M-Benz B-Class,179 - 179,https://autos.yahoo.com.tw/p/r/w644/car-models/January2024/L45yasDLWP4uxIlOvoB0.jpeg
2024,M-Benz C-Class Estate,261 - 399,https://autos.yahoo.com.tw/p/r/w644/car-models/October2023/Qlv0bdf7T97JMEU893zv.jpeg
2024,M-Benz C-Class Sedan,220 - 603,https://autos.yahoo.com.tw/p/r/w644/car-models/October2023/aw8XJeMx0V3OtB7MltGW.jpeg
2024,M-Benz CLA,209 - 368,https://autos.yahoo.com.tw/p/r/w644/car-models/January2024/EDcutzN2YaCd1JRsAoGN.jpeg
2024,M-Benz CLA Shooting Brake,214 - 294,https://autos.yahoo.com.tw/p/r/w644/car-models/January2024/UeWIZKEam928vCHoqMov.jpeg
2024,M-Benz CLE Cabriolet,321 - 321,https://autos.yahoo.com.tw/p/r/w644/car-models/March2024/E6p5SRBc10ilSKmvE6iS.jpg
2024,M-Benz CLE Coupe,288 - 438,https://autos.yahoo.com.tw/p/r/w644/car-models/March2024/yKBdvuy3kTuH1yzdcdd1.jpg
2024,M-Benz E-Class Estate,319 - 319,https://autos.yahoo.com.tw/p/r/w644/car-models/December2023/nP5RuPXU5vSlIlIkvU8g.jpg
2024,M-Benz E-Class Sedan,293 - 355,https://autos.yahoo.com.tw/p/r/w644/car-models/December2023/0UZWIJhOYxfutjFJETO6.jpg
2024,M-Benz EQA,217 - 217,https://autos.yahoo.com.tw/p/r/w644/car-models/February2024/DJmF8IqM3FnFrkxaoec8.jpg
2024,M-Benz EQB,222 - 267,https://autos.yahoo.com.tw/p/r/w644/car-models/February2024/OTCC0eimosdhpaZIitx2.jpg
2024,M-Benz EQE,326 - 482,https://autos.yahoo.com.tw/p/r/w644/car-models/January2024/f1vETzl1ZJI0d60mQwMl.jpeg
2024,M-Benz EQE SUV,299 - 470,https://autos.yahoo.com.tw/p/r/w644/car-models/January2024/CbcPEIfnhlrKQQvn014Z.jpeg
2024,M-Benz EQS,588 - 810,https://autos.yahoo.com.tw/p/r/w644/car-models/November2023/v8e9BRwm1EVCbav6Ht9i.jpeg
2024,M-Benz EQS SUV,603 - 603,https://autos.yahoo.com.tw/p/r/w644/car-models/January2024/Dl6kERwr8Yu3e70RqtZN.jpeg
2024,M-Benz G-Class,750 - 971,https://autos.yahoo.com.tw/p/r/w644/car-models/December2023/G4s9cUUY0addPZZoHebm.jpeg
2024,M-Benz GLA,203 - 293,https://autos.yahoo.com.tw/p/r/w644/car-models/January2024/fdfCDHISO7KBRHa3ncox.jpeg
2024,M-Benz GLB,214 - 307,https://autos.yahoo.com.tw/p/r/w644/car-models/January2024/W8uEHliT4IHnc3K6LwBn.jpg
2024,M-Benz GLC,268 - 313,https://autos.yahoo.com.tw/p/r/w644/car-models/January2024/b9KgnfIpsp4nQIe4P5Ap.jpeg
2024,M-Benz GLC Coupe,289 - 330,https://autos.yahoo.com.tw/p/r/w644/car-models/January2024/HeSosTBkOksv2FDASJJI.jpeg
2024,M-Benz GLE,337 - 479,https://autos.yahoo.com.tw/p/r/w644/car-models/January2024/5NUL6MbIVpKnwD08vSId.jpeg
2024,M-Benz GLE Coupe,361 - 512,https://autos.yahoo.com.tw/p/r/w644/car-models/January2024/D1mR699vE5cjqBrSKttP.jpeg
2024,M-Benz GLS,502 - 1253.3,https://autos.yahoo.com.tw/p/r/w644/car-models/October2023/1oYONEE1GAb2RlAUzGop.jpg
2024,M-Benz Marco Polo,380 - 380,https://autos.yahoo.com.tw/p/r/w644/car-models/January2024/xjS72EiRheEtRk8ImRxm.jpeg
2024,M-Benz S-Class,464 - 1207.9,https://autos.yahoo.com.tw/p/r/w644/car-models/October2023/Dp0QirFyY2JgAlQBP8oJ.jpeg
2024,M-Benz V-Class,256 - 359,https://autos.yahoo.com.tw/p/r/w644/car-models/January2024/qKzVC8Rhvckfp9UdmzoZ.jpeg
2024,M-Benz Vito Tourer,218 - 218,https://autos.yahoo.com.tw/p/r/w644/car-models/January2024/BQAuyDLGhIxZviqCd6De.jpeg
2023,M-Benz A-Class,172 - 334,https://autos.yahoo.com.tw/p/r/w644/car-models/September2022/nrygwJGT4wiDS1TNycCP.jpeg
2023,M-Benz A-Class Sedan,174 - 265,https://autos.yahoo.com.tw/p/r/w644/car-models/September2022/hSeLDHi25ECLvkMynfYz.jpeg
2023,M-Benz A-Class Sedan(NEW),183 - 183,https://autos.yahoo.com.tw/p/r/w644/car-models/April2023/kcDGzJiLdEDmIMBaV23z.jpg
2023,M-Benz A-Class(NEW),181 - 346,https://autos.yahoo.com.tw/p/r/w644/car-models/April2023/WESD3zsUI8hTv2B3GFDJ.jpg
2023,M-Benz AMG GT 4-Door Coupe,579 - 1194,https://autos.yahoo.com.tw/p/r/w644/car-models/October2022/1M58PY3PVKbXpSPSYypZ.jpg
2023,M-Benz AMG SL,676 - 676,https://autos.yahoo.com.tw/p/r/w644/car-models/March2023/Dj4bUUTxD7WSL6yoleKq.jpg
2023,M-Benz B-Class,171 - 171,https://autos.yahoo.com.tw/p/r/w644/car-models/September2022/omsAzyFiuMYqL27hRJnu.jpeg
2023,M-Benz B-Class(NEW),177 - 177,https://autos.yahoo.com.tw/p/r/w644/car-models/April2023/uPmSqBOCKx6ppGAn74FW.jpg
2023,M-Benz C-Class Estate,240 - 396,https://autos.yahoo.com.tw/p/r/w644/car-models/October2022/jJQoyZOMZKE9lXJ0vsxh.jpeg
2023,M-Benz C-Class Sedan,217 - 382,https://autos.yahoo.com.tw/p/r/w644/car-models/October2022/ivkay0tgj5sB33HbxHBv.jpeg
2023,M-Benz CLA,201 - 356,https://autos.yahoo.com.tw/p/r/w644/car-models/September2022/Yk3tgseacu0NzvlWqLPZ.jpeg
2023,M-Benz CLA Shooting Brake,208 - 290,https://autos.yahoo.com.tw/p/r/w644/car-models/September2022/THqUTMGxJ1a1UB8qHbix.jpeg
2023,M-Benz CLA Shooting Brake(NEW),214 - 294,https://autos.yahoo.com.tw/p/r/w644/car-models/September2023/f7h7SWGDwwRvXFE1iOKv.jpg
2023,M-Benz CLA(NEW),209 - 368,https://autos.yahoo.com.tw/p/r/w644/car-models/September2023/IxLNNCjRRbtM0fTX1R1j.jpg
2023,M-Benz CLS,428 - 428,https://autos.yahoo.com.tw/p/r/w644/car-models/March2023/c3emF7BBiA9uAGXccNJF.jpeg
2023,M-Benz E-Class Coupe,315 - 498,https://autos.yahoo.com.tw/p/r/w644/car-models/March2023/yMSeNy3LWbFgOaoS7YI9.jpeg
2023,M-Benz E-Class Estate,301 - 301,https://autos.yahoo.com.tw/p/r/w644/car-models/October2022/CN8oAmf9LKdp81DG9fgW.png
2023,M-Benz E-Class Sedan,278 - 476,https://autos.yahoo.com.tw/p/r/w644/car-models/October2022/GRnlQIlwhDLrD8LRvGIM.jpeg
2023,M-Benz EQA,217 - 217,https://autos.yahoo.com.tw/p/r/w644/car-models/September2022/VqiTl7PWWVyb8yU989qo.png
2023,M-Benz EQB,267 - 267,https://autos.yahoo.com.tw/p/r/w644/car-models/September2022/LbywYGVURJb4Y8omTgsw.jpg
2023,M-Benz EQE,326 - 482,https://autos.yahoo.com.tw/p/r/w644/car-models/September2022/tsY7SC4CMgFigJNarmvJ.jpg
2023,M-Benz EQE SUV,358 - 465,https://autos.yahoo.com.tw/p/r/w644/car-models/July2023/LVxIyeLsbBaFVGAv5RSc.jpg
2023,M-Benz EQS,553 - 810,https://autos.yahoo.com.tw/p/r/w644/car-models/October2022/knL1O5abaLqg35TTmBpS.jpeg
2023,M-Benz EQS SUV,603 - 603,https://autos.yahoo.com.tw/p/r/w644/car-models/July2023/ZUB9OZAQRCh5tUGkjbBB.jpg
2023,M-Benz G-Class,748 - 969,https://autos.yahoo.com.tw/p/r/w644/car-models/March2023/diuHiwaeSVB4xdHYi4A1.jpeg
2023,M-Benz GLA,190 - 286,https://autos.yahoo.com.tw/p/r/w644/car-models/September2022/oWP2hDQSY99GwcOUfkWb.jpeg
2023,M-Benz GLA(NEW),203 - 293,https://autos.yahoo.com.tw/p/r/w644/car-models/September2023/0xYt0OzuuUidUvtycnc5.jpg
2023,M-Benz GLB,209 - 300,https://autos.yahoo.com.tw/p/r/w644/car-models/September2022/RS7GhpdHQHDF1lwH9hli.jpeg
2023,M-Benz GLC,266 - 311,https://autos.yahoo.com.tw/p/r/w644/car-models/December2022/zKZILMjfr0FzfPiDMuMH.jpg
2023,M-Benz GLC Coupe,270 - 391,https://autos.yahoo.com.tw/p/r/w644/car-models/October2022/24VRvwcBBvtssyqlhnZJ.jpeg
2023,M-Benz GLC Coupe(NEW),289 - 330,https://autos.yahoo.com.tw/p/r/w644/car-models/August2023/pOictytCQjO6vIjpPFro.jpg
2023,M-Benz GLE,327 - 457,https://autos.yahoo.com.tw/p/r/w644/car-models/December2022/T3SiJ9Bv3ZrhP1nR1qRU.jpeg
2023,M-Benz GLE Coupe,351 - 470,https://autos.yahoo.com.tw/p/r/w644/car-models/December2022/ChcP2o8Z2wDFf9oEJEDE.jpeg
2023,M-Benz GLE Coupe(NEW),361 - 512,https://autos.yahoo.com.tw/p/r/w644/car-models/July2023/AkMA0CsjUaX5ZDCojdo6.jpg
2023,M-Benz GLE(NEW),337 - 479,https://autos.yahoo.com.tw/p/r/w644/car-models/July2023/U5fqqKYLJjI78CcfodE7.jpg
2023,M-Benz GLS,476 - 1014,https://autos.yahoo.com.tw/p/r/w644/car-models/December2022/xTk1jepGffah5FjDQJk0.jpeg
2023,M-Benz Marco Polo,380 - 380,https://autos.yahoo.com.tw/p/r/w644/car-models/October2022/XOuifNjahKX2Pg5yopwE.jpg
2023,M-Benz S-Class,462 - 1205.9,https://autos.yahoo.com.tw/p/r/w644/car-models/October2022/e87jZCSbWS9EltPVHqTU.jpeg
2023,M-Benz V-Class,256 - 359,https://autos.yahoo.com.tw/p/r/w644/car-models/December2022/o56IeLMjsk1Vgxb9yDJd.jpg
2023,M-Benz Vito Tourer,218 - 218,https://autos.yahoo.com.tw/p/r/w644/car-models/October2022/MJgzcTdVIYuc5qOTQe8H.jpeg
